treatment_group,customer_id,transaction
control,1001102,0
control,1003032,0
control,1003264,0
control,1003659,0
control,1005674,0
control,1005726,0
control,1006264,0
control,1006464,0
control,1006706,0
control,1007687,0
control,1008794,0
control,1008853,0
control,1009645,0
control,1010290,0
control,1011966,0
control,1012452,0
control,1012762,0
control,1013502,0
control,1015663,0
control,1016181,0
control,1017335,0
control,1019266,0
control,1020853,0
control,1021841,0
control,1022428,0
control,1022622,0
control,1022688,0
control,1024448,0
control,1024472,0
control,1026503,0
control,1028280,0
control,1028533,0
control,1029449,0
control,1029735,0
control,1031326,0
control,1032761,0
control,1033240,0
control,1033957,0
control,1034109,0
control,1034932,0
control,1035884,0
control,1038524,0
control,1041543,0
control,1044035,1
control,1045249,0
control,1045394,0
control,1046583,0
control,1047070,0
control,1047395,0
control,1047440,0
control,1048820,0
control,1049444,0
control,1049557,0
control,1051121,0
control,1051525,0
control,1051824,0
control,1053366,0
control,1053839,1
control,1054350,0
control,1055038,0
control,1055277,0
control,1055496,1
control,1055932,0
control,1056051,0
control,1056092,0
control,1056225,0
control,1056586,0
control,1057464,0
control,1058148,0
control,1058330,0
control,1059796,0
control,1061310,0
control,1061319,0
control,1062531,0
control,1064159,0
control,1064232,0
control,1064263,0
control,1064846,0
control,1065907,0
control,1066174,0
control,1067468,0
control,1070613,0
control,1070757,0
control,1071177,0
control,1071355,0
control,1071644,0
control,1071895,1
control,1072282,0
control,1072733,0
control,1073139,0
control,1073953,0
control,1077868,1
control,1077970,0
control,1079472,0
control,1079728,0
control,1081004,0
control,1081968,0
control,1082074,1
control,1083610,0
control,1085542,0
control,1085865,0
control,1086014,0
control,1086379,0
control,1086567,1
control,1087891,0
control,1087917,0
control,1088961,0
control,1089250,0
control,1089669,0
control,1089698,0
control,1091299,0
control,1094133,0
control,1095256,0
control,1097866,1
control,1097875,0
control,1100033,0
control,1100412,0
control,1100429,0
control,1100862,0
control,1100992,0
control,1101036,0
control,1101070,0
control,1101733,0
control,1101937,0
control,1101971,0
control,1103585,0
control,1103788,0
control,1103888,0
control,1104129,1
control,1106241,0
control,1106276,0
control,1106725,0
control,1107386,0
control,1108112,0
control,1108429,0
control,1110222,0
control,1110243,0
control,1115336,0
control,1115853,0
control,1116634,0
control,1118509,0
control,1118756,0
control,1120591,0
control,1120716,0
control,1122354,0
control,1123655,0
control,1124596,0
control,1125957,0
control,1127849,0
control,1129209,0
control,1130516,0
control,1130621,0
control,1131794,1
control,1131862,0
control,1134328,0
control,1135556,0
control,1135713,0
control,1135874,0
control,1135932,0
control,1136822,0
control,1138043,0
control,1138876,0
control,1139141,0
control,1141116,0
control,1143807,0
control,1144239,0
control,1145356,0
control,1147290,0
control,1148516,0
control,1148706,0
control,1150100,0
control,1150392,0
control,1150548,0
control,1151222,0
control,1151735,0
control,1153562,0
control,1155059,0
control,1156222,1
control,1157730,0
control,1158119,0
control,1158459,0
control,1158599,0
control,1158669,0
control,1159307,0
control,1161560,0
control,1161671,0
control,1162550,0
control,1162672,0
control,1163189,0
control,1163329,0
control,1164820,0
control,1164835,0
control,1165003,0
control,1165620,0
control,1166295,0
control,1166648,0
control,1166847,0
control,1166854,0
control,1166992,0
control,1167925,0
control,1167978,0
control,1169364,0
control,1169447,0
control,1169901,0
control,1170397,0
control,1172251,0
control,1172538,0
control,1172965,0
control,1173355,0
control,1173366,0
control,1173383,0
control,1173723,0
control,1173734,0
control,1174027,1
control,1174157,0
control,1174719,0
control,1174874,0
control,1175659,0
control,1175836,0
control,1175977,0
control,1176855,0
control,1177522,0
control,1178319,0
control,1179483,0
control,1180377,0
control,1180429,0
control,1180766,0
control,1181493,0
control,1183693,0
control,1183847,0
control,1183930,0
control,1184553,0
control,1184708,0
control,1185409,0
control,1185677,0
control,1186849,0
control,1187168,0
control,1187304,0
control,1187711,0
control,1188459,0
control,1188932,0
control,1189394,0
control,1189524,0
control,1189790,0
control,1190611,0
control,1191553,0
control,1191839,0
control,1192598,0
control,1193646,0
control,1194372,0
control,1194937,0
control,1195748,0
control,1196001,0
control,1196231,0
control,1196479,0
control,1198229,0
control,1198345,0
control,1198420,0
control,1198478,0
control,1198709,0
control,1199536,0
control,1201983,0
control,1204553,0
control,1205143,0
control,1205194,0
control,1205313,0
control,1206097,0
control,1206575,0
control,1206861,0
control,1207066,0
control,1208239,0
control,1209227,0
control,1211074,0
control,1211578,0
control,1212125,0
control,1212307,0
control,1212925,0
control,1213542,0
control,1214312,0
control,1215423,0
control,1216392,0
control,1217841,0
control,1219418,0
control,1220042,0
control,1221773,0
control,1222383,0
control,1222552,0
control,1223640,0
control,1224104,0
control,1224350,0
control,1225019,0
control,1225499,0
control,1226952,0
control,1228433,0
control,1228513,0
control,1229114,0
control,1229965,0
control,1230794,0
control,1231275,0
control,1231701,0
control,1231895,0
control,1232248,0
control,1232339,0
control,1233094,0
control,1234636,0
control,1236206,0
control,1236887,0
control,1237001,0
control,1237553,0
control,1237702,0
control,1238216,0
control,1238603,0
control,1238786,0
control,1239850,0
control,1239988,0
control,1242523,0
control,1243701,0
control,1244976,0
control,1246642,0
control,1247048,0
control,1247170,0
control,1249368,0
control,1249510,0
control,1250183,0
control,1250522,0
control,1251004,0
control,1251128,0
control,1253564,0
control,1253765,0
control,1253932,1
control,1254089,0
control,1254498,0
control,1254774,0
control,1254975,0
control,1255570,0
control,1256093,0
control,1257466,0
control,1258040,0
control,1258641,0
control,1258762,0
control,1260148,0
control,1261705,0
control,1263064,0
control,1264241,0
control,1264371,0
control,1265816,0
control,1268331,0
control,1268946,0
control,1269295,0
control,1272194,0
control,1273712,0
control,1274119,0
control,1274126,0
control,1274217,0
control,1274627,0
control,1274794,0
control,1274837,0
control,1275587,0
control,1275785,1
control,1277364,0
control,1277845,0
control,1279152,0
control,1279297,0
control,1279343,0
control,1279677,0
control,1279755,0
control,1282214,0
control,1282729,0
control,1283707,0
control,1285035,0
control,1285268,0
control,1285426,0
control,1285445,0
control,1287059,0
control,1287843,0
control,1288120,0
control,1288196,0
control,1288596,0
control,1289200,0
control,1294289,0
control,1295011,0
control,1295693,0
control,1296461,0
control,1297621,0
control,1301603,0
control,1303254,0
control,1305975,0
control,1306390,0
control,1308288,0
control,1308352,0
control,1311180,0
control,1311880,0
control,1313345,0
control,1314540,0
control,1314568,0
control,1314619,0
control,1315751,0
control,1315826,0
control,1316364,1
control,1316424,0
control,1316681,0
control,1317573,0
control,1318124,0
control,1318574,0
control,1318615,0
control,1319473,0
control,1319530,0
control,1320152,0
control,1320427,0
control,1321969,0
control,1322205,0
control,1323029,0
control,1325321,0
control,1325507,0
control,1325970,0
control,1326187,0
control,1326242,0
control,1327861,0
control,1329950,0
control,1331204,1
control,1333122,0
control,1336252,0
control,1336292,0
control,1336472,0
control,1336907,0
control,1337117,0
control,1337421,0
control,1338653,0
control,1340267,0
control,1342931,0
control,1343043,0
control,1343449,0
control,1343960,0
control,1344734,0
control,1346092,0
control,1347611,0
control,1348074,0
control,1350228,0
control,1351577,0
control,1353574,0
control,1355037,0
control,1355119,0
control,1355724,0
control,1356814,0
control,1357530,0
control,1359207,0
control,1362268,0
control,1362323,0
control,1364500,0
control,1364503,0
control,1366024,0
control,1367041,0
control,1367874,0
control,1368630,0
control,1368944,0
control,1369568,0
control,1369778,0
control,1374453,0
control,1374770,0
control,1375102,0
control,1375448,0
control,1376303,0
control,1377121,0
control,1378366,0
control,1378840,0
control,1379955,0
control,1380265,0
control,1380894,0
control,1381623,0
control,1383585,0
control,1385936,0
control,1387283,0
control,1387984,0
control,1388547,0
control,1389331,1
control,1390257,0
control,1390573,0
control,1390976,0
control,1391606,0
control,1393048,0
control,1394147,0
control,1397139,0
control,1397217,0
control,1398955,0
control,1399245,0
control,1400817,0
control,1401827,0
control,1402853,0
control,1402877,0
control,1403863,0
control,1404579,0
control,1406238,0
control,1406776,0
control,1408961,0
control,1409637,0
control,1410382,0
control,1411151,0
control,1411480,0
control,1411891,0
control,1412041,0
control,1412342,0
control,1412830,0
control,1413243,0
control,1413256,0
control,1416301,0
control,1417569,1
control,1418026,0
control,1419140,0
control,1419261,0
control,1420617,0
control,1420855,0
control,1420902,0
control,1421042,0
control,1421577,0
control,1422178,0
control,1422347,0
control,1422880,0
control,1423198,0
control,1423915,0
control,1424070,0
control,1425161,0
control,1425702,0
control,1426933,0
control,1427401,0
control,1427614,0
control,1428448,0
control,1428701,0
control,1428729,0
control,1429337,0
control,1429383,0
control,1429512,0
control,1429559,0
control,1430849,0
control,1432099,0
control,1432128,0
